"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Savoie","4e circonscription de la Savoie","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Jean-François COULOMME (36.87%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Brice BERNARD (30.23%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Anaïs GOMERO (27.72%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","1ère circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Véronique RIOTTON (35.64%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Guillaume ROIT-LEVÊQUE (31.09%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Anne-Valérie DUVAL (22.82%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","2e circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Antoine ARMAND (33.27%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Anis BOUVARD (28.8%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Guillaume TATU (26.88%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","3e circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Antoine VALENTIN (39.68%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Christelle PETEX (32.37%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Gérard VEZ (24.01%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","4e circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Virginie DUBY-MULLER (37.25%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Magalie LUHO (28.85%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Dominique LACHENAL (27.37%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","5e circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Quentin TAÏEB (32.1%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Anne-Cécile VIOLLAND (31.08%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Jean-Baptiste BAUD (23.52%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Haute-Savoie","6e circonscription de la Haute-Savoie","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Charles PRATS (36.21%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Xavier ROSEREN (34.68%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Alain ROUBIAN (22.2%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Paris","2e circonscription de Paris","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Marine ROSSET (33.4%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Jean LAUSSUCQ (23.62%)</p>","<p style='margin:4px;'><span style='background-color:#777F7F; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVC</span> Gilles LE GENDRE (19.62%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Paris","4e circonscription de Paris","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Astrid PANOSYAN-BOUVET (37.19%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Geoffroy BOULARD (26.55%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Théa FOUDRINIER (17.91%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Paris","14e circonscription de Paris","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Benjamin HADDAD (47.71%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Patrick DRAY (17.7%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Louis PIQUET (17.56%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-Maritime","1ère circonscription de la Seine-Maritime","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Florence HEROUIN-LÉAUTEY (44.44%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Damien ADAM (27.62%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Grégoire HOUDAN (19%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-Maritime","2e circonscription de la Seine-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Vanessa LANCELOT (33.77%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Annie VIDAL (27.73%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Vincent DECORDE (24.46%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-Maritime","4e circonscription de la Seine-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Guillaume PENNELLE (39.08%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Alma DUFOUR (32.65%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> <s>Laurent BONNATERRE (24.71%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-Maritime","5e circonscription de la Seine-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jean-Cyril MONTIER (41.4%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Gérard LESEUL (33.36%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> <s>Jean DELALANDRE (22.35%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-Maritime","7e circonscription de la Seine-Maritime","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Agnès FIRMIN LE BODO (34.83%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Anaïs THOMAS (28.63%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Florence MARTIN PÉRÉON (28.62%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","1ère circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Arnaud SAINT-MARTIN (33.31%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Théo MICHEL (32.95%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Aude LUQUET (29.04%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","2e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Ivanka DIMITROVA (35.06%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Frédéric VALLETOUX (33.73%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Nour BENAÏSSA WATBOT (23.7%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","3e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Davy BRUN (38.13%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Jean-Louis THIERIOT (31.68%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Laura VALLÉE-HANS (28.4%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","4e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Julien LIMONGI (47.64%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Isabelle PERIGAULT (28.01%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Mathieu GARNIER (20.9%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","5e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Philippe FONTANA (41.77%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Franck RIESTER (31.43%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Laurie CAENBERGS (24.52%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","6e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Béatrice ROULLAUD (40.81%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Amal BENTOUNSI (30.22%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> <s>Régis SARAZIN (26.7%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","8e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Arnaud BONNET (36.29%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Hadrien GHOMI (33.03%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Manon MOURGERES (27.97%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Seine-et-Marne","9e circonscription de Seine-et-Marne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Morgann VANACKER (35.5%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Céline THIÉBAULT-MARTINEZ (29.65%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Michèle PEYRON (21.57%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","1ère circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Charles RODWELL (33.55%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Sébastien RAMAGE (28.31%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Anne JACQMIN (19.37%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","2e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Jean-Noël BARROT (35.01%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Maïté CARRIVE-BÉDOUANI (26.29%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Gaetan BRAULT (21.81%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","3e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Béatrice PIRON (34.49%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Valentin SALVINO (22.79%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Thomas CIANO (20.85%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","4e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Marie LEBEC (41.24%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Céline BOURDON (27.21%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Jean-François MOURTOUX (19.99%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","5e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Yaël BRAUN-PIVET (42.79%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Yassine BENYETTOU (27.31%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Jacques MYARD (22.9%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","6e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Natalia POUZYREFF (38.33%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Mélinda SAUGER (27.02%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Sophie LELANDAIS (20.45%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","7e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Aurélien ROUSSEAU (34.68%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Nadia HAI (29.32%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Babette DE ROZIERES (25.79%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","9e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Laurent MORIN (34.49%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Dieynaba DIOP (29.64%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Bruno MILLIENNE (21.35%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","10e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Aurore BERGÉ (33.59%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Thomas DU CHALARD (28.22%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Cédric BRIOLAIS (22.4%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","11e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> William MARTINET (43.38%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-UDI</span> Laurent MAZAURY (29.25%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Victoria DOUCET (21.79%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Yvelines","12e circonscription des Yvelines","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Karl OLIVE (40.75%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Christophe MASSIAUX (30.32%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jean-Louis METTELET (24.88%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Deux-Sèvres","1ère circonscription des Deux-Sèvres","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> Bastien MARCHIVE (40.24%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Nathalie LANZI (32.79%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Dorothée CHAMPEAU (24.62%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Somme","1ère circonscription de la Somme","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nathalie RIBEIRO BILLET (40.69%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> François RUFFIN (33.92%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Albane BRANLANT (22.68%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Somme","2e circonscription de la Somme","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Zahia HAMDANE (29.54%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Damien TOUMI (27.46%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Hubert DE JENLIS (25.23%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Tarn","1ère circonscription du Tarn","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Frédéric CABROLIER (39.53%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Alliance-centriste</span> Philippe BONNECARRERE (29.52%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Margot LAPEYRE (28.37%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Tarn","2e circonscription du Tarn","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Julien BACOU (37.94%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Karen ERODI (31.63%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Pierre VERDIER (21.7%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Tarn","3e circonscription du Tarn","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Guilhem CARAYON (43.51%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Jean TERLIER (28.6%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Julien LASSALLE (25.39%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Var","1ère circonscription du Var","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Sébastien SOULÉ (42.28%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Yannick CHENEVARD (31.37%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Eric HABOUZIT (22.38%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Vaucluse","2e circonscription du Vaucluse","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Bénédicte AUZANOT (45.95%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Patrick BLANES (24.85%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Sylvie VIALA (19.4%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Vaucluse","5e circonscription du Vaucluse","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Catherine RIMBERT (45.03%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Céline CELCE (27.16%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Adrien MORENAS (20.29%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Vendée","1ère circonscription de la Vendée","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Simon-Pierre PAULIN (32.17%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Philippe LATOMBE (28.51%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Lucie ETONNO (23.33%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Vendée","2e circonscription de la Vendée","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Béatrice BELLAMY (38.74%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Marie-Christine EBRAN (36.53%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Nicolas HELARY (23.34%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
