,time,latitude,longitude,frpfire,fire_range
7626141,2022-07-22T00:00:00,58.15,134.15,1.2369497076868194,1-5
7626145,2022-07-22T00:00:00,58.15,134.55,1.8185469075231797,1-5
7626147,2022-07-22T00:00:00,58.15,134.75,2.6580061765996685,1-5
7629760,2022-07-22T00:00:00,58.05,136.05,1.252151183384381,1-5
7654955,2022-07-22T00:00:00,57.35,135.55,2.6385820687638946,1-5
7658533,2022-07-22T00:00:00,57.25,133.35,2.406055792353036,1-5
7658556,2022-07-22T00:00:00,57.25,135.65,2.6844680046657947,1-5
7658557,2022-07-22T00:00:00,57.25,135.75,2.9209354044056512,1-5
7658559,2022-07-22T00:00:00,57.25,135.95,1.391216535136154,1-5
7658560,2022-07-22T00:00:00,57.25,136.05,1.9066591648071975,1-5
7665766,2022-07-22T00:00:00,57.05,136.65,1.14602236231066,1-5
7665767,2022-07-22T00:00:00,57.05,136.75,1.6147345296521607,1-5
7669349,2022-07-22T00:00:00,56.95,134.95,3.0205895228674473,1-5
7672930,2022-07-22T00:00:00,56.85,133.05,1.1159009197247496,1-5
7672940,2022-07-22T00:00:00,56.85,134.05,2.4696767832354256,1-5
7672943,2022-07-22T00:00:00,56.85,134.35,3.365719322963952,1-5
7672948,2022-07-22T00:00:00,56.85,134.85,1.366725268734526,1-5
7672949,2022-07-22T00:00:00,56.85,134.95,4.70119711387571,1-5
7672950,2022-07-22T00:00:00,56.85,135.05,3.0476143685520025,1-5
7672953,2022-07-22T00:00:00,56.85,135.35,1.230756513884109,1-5
7672954,2022-07-22T00:00:00,56.85,135.45,1.4289387155708448,1-5
7676532,2022-07-22T00:00:00,56.75,133.25,3.2370697971531017,1-5
7676533,2022-07-22T00:00:00,56.75,133.35,2.8573144135232615,1-5
7676539,2022-07-22T00:00:00,56.75,133.95,7.96698080956865,5-10
7676540,2022-07-22T00:00:00,56.75,134.05,1.399098781794149,1-5
7676541,2022-07-22T00:00:00,56.75,134.15,1.9826665432950081,1-5
7687314,2022-07-22T00:00:00,56.45,131.45,1.2051392122456246,1-5
7694540,2022-07-22T00:00:00,56.25,134.05,1.8331853656023132,1-5
7698150,2022-07-22T00:00:00,56.15,135.05,1.016528310072168,1-5
8067736,2022-07-22T00:00:00,45.85,13.65,1.237231216496033,1-5
8078752,2022-07-22T00:00:00,45.55,35.25,4.805355373284932,1-5
8088058,2022-07-22T00:00:00,45.35,245.85,2.2698055286934045,1-5
8088059,2022-07-22T00:00:00,45.35,245.95,3.9484425580371685,1-5
8091733,2022-07-22T00:00:00,45.25,253.35,2.7157154824885614,1-5
8093217,2022-07-22T00:00:00,45.15,41.75,1.1144933756786788,1-5
8204327,2022-07-22T00:00:00,42.15,352.75,1.5474539242499876,1-5
8259622,2022-07-22T00:00:00,40.55,122.25,4.847863203476264,1-5
8368800,2022-07-22T00:00:00,37.55,240.05,7.3594847992845915,5-10
8415678,2022-07-22T00:00:00,36.25,247.85,1.2017611065350557,1-5
8423943,2022-07-22T00:00:00,36.05,354.35,1.25412174504888,1-5
8468572,2022-07-22T00:00:00,34.75,137.25,2.3610143828787775,1-5
8582875,2022-07-22T00:00:00,31.55,47.55,1.6406333400998596,1-5
8600872,2022-07-22T00:00:00,31.05,47.25,1.3050748395166352,1-5
8616020,2022-07-22T00:00:00,30.65,122.05,2.650123929941673,1-5
8619623,2022-07-22T00:00:00,30.55,122.35,2.495857102492338,1-5
8642455,2022-07-22T00:00:00,29.95,245.55,1.2009165801074122,1-5
8660708,2022-07-22T00:00:00,29.45,270.85,2.5223189305584652,1-5
8675091,2022-07-22T00:00:00,29.05,269.15,3.614291601500015,1-5
8685670,2022-07-22T00:00:00,28.75,247.05,3.5180155887487876,1-5
8701033,2022-07-22T00:00:00,28.35,343.35,2.4159086006755297,1-5
8729189,2022-07-22T00:00:00,27.55,278.95,5.001003995688742,5-10
8729190,2022-07-22T00:00:00,27.55,279.05,4.464166696517426,1-5
8738608,2022-07-22T00:00:00,27.25,140.85,1.5787014020727543,1-5
8770165,2022-07-22T00:00:00,26.35,56.55,3.317299807779124,1-5
8813328,2022-07-22T00:00:00,25.15,52.85,1.270167747174085,1-5
8833423,2022-07-22T00:00:00,24.65,262.35,7.267994436290004,5-10
8837023,2022-07-22T00:00:00,24.55,262.35,4.334391135469719,1-5
8929216,2022-07-22T00:00:00,21.95,121.65,1.4323168212814146,1-5
8979849,2022-07-22T00:00:00,20.55,144.95,1.8236140660890339,1-5
8986705,2022-07-22T00:00:00,20.35,110.55,2.663636352783951,1-5
8993904,2022-07-22T00:00:00,20.15,110.45,5.596676635985808,5-10
9140794,2022-07-22T00:00:00,16.05,39.45,3.4493274393005438,1-5
9144399,2022-07-22T00:00:00,15.95,39.95,5.578660072196104,5-10
9169601,2022-07-22T00:00:00,15.25,40.15,4.433200727503873,1-5
9176804,2022-07-22T00:00:00,15.05,40.45,5.924352889911036,5-10
9355750,2022-07-22T00:00:00,10.15,295.05,5.162590052177643,5-10
9371597,2022-07-22T00:00:00,9.65,79.75,1.0038604136575326,1-5
9373764,2022-07-22T00:00:00,9.65,296.45,1.9182010259849758,1-5
9846257,2022-07-22T00:00:00,-3.55,25.75,1.0280701712499472,1-5
9846278,2022-07-22T00:00:00,-3.55,27.85,1.1105522523496827,1-5
9849859,2022-07-22T00:00:00,-3.65,25.95,1.2988816457139247,1-5
9853439,2022-07-22T00:00:00,-3.75,23.95,1.571100664223973,1-5
9857060,2022-07-22T00:00:00,-3.85,26.05,1.3954391672743656,1-5
9860633,2022-07-22T00:00:00,-3.95,23.35,1.1268797632841014,1-5
9860635,2022-07-22T00:00:00,-3.95,23.55,2.6225360666386903,1-5
9864244,2022-07-22T00:00:00,-4.05,24.45,1.867529440326435,1-5
9867840,2022-07-22T00:00:00,-4.15,24.05,1.0351078914802994,1-5
9867873,2022-07-22T00:00:00,-4.15,27.35,1.1113967787773245,1-5
9871449,2022-07-22T00:00:00,-4.25,24.95,1.295503540003355,1-5
9871451,2022-07-22T00:00:00,-4.25,25.15,1.580953472546467,1-5
9871452,2022-07-22T00:00:00,-4.25,25.25,1.7357833176142297,1-5
9871480,2022-07-22T00:00:00,-4.25,28.05,1.1806479458439956,1-5
9875047,2022-07-22T00:00:00,-4.35,24.75,1.403602922741575,1-5
9875062,2022-07-22T00:00:00,-4.35,26.25,1.7121365776402442,1-5
9875064,2022-07-22T00:00:00,-4.35,26.45,3.77475162275206,1-5
9878661,2022-07-22T00:00:00,-4.45,26.15,1.0776157216716307,1-5
9878677,2022-07-22T00:00:00,-4.45,27.75,1.3929055879914385,1-5
9885866,2022-07-22T00:00:00,-4.65,26.65,2.2244826104099324,1-5
9888739,2022-07-22T00:00:00,-4.65,313.95,1.0382044883816537,1-5
9889462,2022-07-22T00:00:00,-4.75,26.25,8.687080343538355,5-10
9889474,2022-07-22T00:00:00,-4.75,27.45,1.102670005691687,1-5
9889482,2022-07-22T00:00:00,-4.75,28.25,1.0058309753220307,1-5
9889510,2022-07-22T00:00:00,-4.75,31.05,1.6673766769752003,1-5
9893052,2022-07-22T00:00:00,-4.85,25.25,2.369178138345987,1-5
9893053,2022-07-22T00:00:00,-4.85,25.35,3.560523418940119,1-5
9893071,2022-07-22T00:00:00,-4.85,27.15,2.3894467726094035,1-5
9893084,2022-07-22T00:00:00,-4.85,28.45,1.1865596308374933,1-5
9893085,2022-07-22T00:00:00,-4.85,28.55,1.215273529377333,1-5
9895949,2022-07-22T00:00:00,-4.85,314.95,1.1032330233101142,1-5
9896653,2022-07-22T00:00:00,-4.95,25.35,2.0958330845990822,1-5
9896667,2022-07-22T00:00:00,-4.95,26.75,1.0629772635924972,1-5
9896684,2022-07-22T00:00:00,-4.95,28.45,1.1251907104288161,1-5
9900199,2022-07-22T00:00:00,-5.05,19.95,1.119560534244533,1-5
9900255,2022-07-22T00:00:00,-5.05,25.55,1.1339174835144537,1-5
9900256,2022-07-22T00:00:00,-5.05,25.65,1.15700120587001,1-5
9900266,2022-07-22T00:00:00,-5.05,26.65,1.1691060846662182,1-5
9903856,2022-07-22T00:00:00,-5.15,25.65,2.2450327534825627,1-5
9907467,2022-07-22T00:00:00,-5.25,26.75,2.1738110247513918,1-5
9911059,2022-07-22T00:00:00,-5.35,25.95,2.0547327984538217,1-5
9911067,2022-07-22T00:00:00,-5.35,26.75,2.2802213546343273,1-5
9914661,2022-07-22T00:00:00,-5.45,26.15,1.5646259616120481,1-5
9914678,2022-07-22T00:00:00,-5.45,27.85,1.886953548162209,1-5
9921859,2022-07-22T00:00:00,-5.65,25.95,1.5592772942369804,1-5
9921860,2022-07-22T00:00:00,-5.65,26.05,3.501688077814369,1-5
9921862,2022-07-22T00:00:00,-5.65,26.25,1.3332257204380467,1-5
9921868,2022-07-22T00:00:00,-5.65,26.85,1.3619396189778863,1-5
9925461,2022-07-22T00:00:00,-5.75,26.15,1.3360408085301874,1-5
9929047,2022-07-22T00:00:00,-5.85,24.75,1.1029515145009015,1-5
9932662,2022-07-22T00:00:00,-5.95,26.25,8.287337834454313,5-10
9932663,2022-07-22T00:00:00,-5.95,26.35,2.1318662121784886,1-5
9932664,2022-07-22T00:00:00,-5.95,26.45,3.503658639478868,1-5
9932675,2022-07-22T00:00:00,-5.95,27.55,1.5671595408949752,1-5
9936268,2022-07-22T00:00:00,-6.05,26.85,5.202001285467619,5-10
9936278,2022-07-22T00:00:00,-6.05,27.85,1.2358236724499632,1-5
9939865,2022-07-22T00:00:00,-6.15,26.55,1.2831171523979341,1-5
9939875,2022-07-22T00:00:00,-6.15,27.55,1.325906491398479,1-5
9946997,2022-07-22T00:00:00,-6.35,19.75,4.673046232954299,1-5
9947085,2022-07-22T00:00:00,-6.35,28.55,1.1398291685079496,1-5
9950597,2022-07-22T00:00:00,-6.45,19.75,1.5418237480657053,1-5
9954262,2022-07-22T00:00:00,-6.55,26.25,6.147870884427043,5-10
9957862,2022-07-22T00:00:00,-6.65,26.25,1.1944418774954872,1-5
9961448,2022-07-22T00:00:00,-6.75,24.85,2.0806316089015198,1-5
9961475,2022-07-22T00:00:00,-6.75,27.55,1.1105522523496827,1-5
9968669,2022-07-22T00:00:00,-6.95,26.95,1.290999399055929,1-5
9968680,2022-07-22T00:00:00,-6.95,28.05,2.145097126211552,1-5
9972257,2022-07-22T00:00:00,-7.05,25.75,1.53872715116435,1-5
9972261,2022-07-22T00:00:00,-7.05,26.15,4.941324128135349,1-5
9972264,2022-07-22T00:00:00,-7.05,26.45,3.8119107855683225,1-5
9972265,2022-07-22T00:00:00,-7.05,26.55,1.637818252007718,1-5
9972294,2022-07-22T00:00:00,-7.05,29.45,1.622335267500942,1-5
9975863,2022-07-22T00:00:00,-7.15,26.35,1.169387593475431,1-5
9975883,2022-07-22T00:00:00,-7.15,28.35,1.0401750500461535,1-5
9979462,2022-07-22T00:00:00,-7.25,26.25,1.18290001631771,1-5
9979464,2022-07-22T00:00:00,-7.25,26.45,2.2244826104099324,1-5
