"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2024","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"I3442310",48.9101001,-0.6070219,88.8,"site",2024-02-13,"La Druance à Périgny",1467.57142857143,2776.33540372671,-47.139980760196,"inf à -40%","#fd8d3c","-47,1%","Débit moyen au 13 février 2024: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-47,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"I3462010",48.8668128,-0.4384393,520,"site",2024-02-13,"Le Noireau à Cahan [Les Planches - CD 911]",11647.4285714286,14924.4285714286,-21.957289582755,"inf à -15%","#fdbe85","-22,0%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-22,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I3463010",48.8468681,-0.510203,110,"site",2024-02-13,"La Vère à Saint-Pierre-du-Regard",3556.42857142857,3064.74761904762,16.0431139362053,"sup à 15%","#c6dbef","+16,0%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+16,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I3712010",49.07408,-0.6151015,76,"site",2024-02-13,"L'Odon à Épinay-sur-Odon",1149.42857142857,1992.33004926108,-42.3073214272468,"inf à -40%","#fd8d3c","-42,3%","Débit moyen au 13 février 2024: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-42,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"I4022010",49.1625939,-0.6155757,133,"site",2024-02-13,"La Seulles à Juvigny-sur-Seulles",1937.57142857143,3067.89523809524,-36.8436247590251,"inf à -15%","#fdbe85","-36,8%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-36,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"I4032010",49.2913976,-0.5306883,256,"site",2024-02-13,"La Seulles à Tierceville",4233.85714285714,4727.16666666667,-10.4356279055713,"inf à 0%","#feedde","-10,4%","Débit moyen au 13 février 2024: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-10,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5013610",48.8176226,-0.9127049,42,"site",2024-02-13,"La Virene à Saint-Germain-de-Tallevende-la-Lande-Vaumont",1886.28571428571,1611.76666666667,17.0321829639757,"sup à 15%","#c6dbef","+17,0%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+17,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5053010",48.9471158,-0.8887456,115,"site",2024-02-13,"La Souleuvre à Carville",2155.28571428571,3368.26666666667,-36.0120225748444,"inf à -15%","#fdbe85","-36,0%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-36,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5121020",48.9749585,-1.055408,639,"site",2024-02-13,"La Vire à Tessy-sur-Vire",17628.5714285714,20883.3915343915,-15.585687317407,"inf à -15%","#fdbe85","-15,6%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-15,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5221010",49.0852726,-1.0917294,868,"site",2024-02-13,"La Vire à Saint-Lô [Pont de Gourfaleur]",22946.1428571429,23725.8238095238,-3.28621235089814,"inf à 0%","#feedde","-3,3%","Débit moyen au 13 février 2024: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-3,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5243010",49.2010712,-1.0070384,57,"site",2024-02-13,"Le bras de l'Elle à Saint-Jean-de-Savigny",1382.71428571429,1283.50738916256,7.72935920660798,"0 et 15%","#eff3ff","+7,7%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+7,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5321510",49.3211563,-0.7490874,135,"site",2024-02-13,"L'Aure à Maisons [Pont-Fatu]",1646.14285714286,2137.79047619048,-22.9979328902115,"inf à -15%","#fdbe85","-23,0%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-23,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I5352010",49.2995275,-0.738172,245,"site",2024-02-13,"La Drôme à Sully",4487.71428571429,5478.59047619048,-18.0863343369514,"inf à -15%","#fdbe85","-18,1%","Débit moyen au 13 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-18,1%</span> par rapport à la moyenne 1990-2020 à cette période."
